"varnames_orig","varnames_replace"
"speeches_count_mar33_50km","vcount_50km5"
"speeches_count_mar32_5km","vcount_5km6"
"speeches_count_mar32_10km","vcount_10km6"
"speeches_count_mar32_25km","vcount_25km6"
"speeches_count_mar32_50km","vcount_50km6"
"speeches_count_apr32_5km","vcount_5km7"
"speeches_count_apr32_10km","vcount_10km7"
"speeches_count_apr32_25km","vcount_25km7"
"speeches_count_apr32_50km","vcount_50km7"
"speeches_count_may28_2w_5km","vcount_2w_5km1"
"speeches_count_may28_2w_10km","vcount_2w_10km1"
"speeches_count_may28_2w_25km","vcount_2w_25km1"
"speeches_count_may28_2w_50km","vcount_2w_50km1"
"speeches_count_may28_4w_5km","vcount_4w_5km1"
"speeches_count_may28_4w_10km","vcount_4w_10km1"
"speeches_count_may28_4w_25km","vcount_4w_25km1"
"speeches_count_may28_4w_50km","vcount_4w_50km1"
"speeches_count_may28_8w_5km","vcount_8w_5km1"
"speeches_count_may28_8w_10km","vcount_8w_10km1"
"speeches_count_may28_8w_25km","vcount_8w_25km1"
"speeches_count_may28_8w_50km","vcount_8w_50km1"
"speeches_count_may28_12w_5km","vcount_12w_5km1"
"speeches_count_may28_12w_10km","vcount_12w_10km1"
"speeches_count_may28_12w_25km","vcount_12w_25km1"
"speeches_count_may28_12w_50km","vcount_12w_50km1"
"speeches_count_sep30_2w_5km","vcount_2w_5km2"
"speeches_count_sep30_2w_10km","vcount_2w_10km2"
"speeches_count_sep30_2w_25km","vcount_2w_25km2"
"speeches_count_sep30_2w_50km","vcount_2w_50km2"
"speeches_count_sep30_4w_5km","vcount_4w_5km2"
"speeches_count_sep30_4w_10km","vcount_4w_10km2"
"speeches_count_sep30_4w_25km","vcount_4w_25km2"
"speeches_count_sep30_4w_50km","vcount_4w_50km2"
"speeches_count_sep30_8w_5km","vcount_8w_5km2"
"speeches_count_sep30_8w_10km","vcount_8w_10km2"
"speeches_count_sep30_8w_25km","vcount_8w_25km2"
"speeches_count_sep30_8w_50km","vcount_8w_50km2"
"speeches_count_sep30_12w_5km","vcount_12w_5km2"
"speeches_count_sep30_12w_10km","vcount_12w_10km2"
"speeches_count_sep30_12w_25km","vcount_12w_25km2"
"speeches_count_sep30_12w_50km","vcount_12w_50km2"
"speeches_count_jul32_2w_5km","vcount_2w_5km3"
"speeches_count_jul32_2w_10km","vcount_2w_10km3"
"speeches_count_jul32_2w_25km","vcount_2w_25km3"
"speeches_count_jul32_2w_50km","vcount_2w_50km3"
"speeches_count_jul32_4w_5km","vcount_4w_5km3"
"speeches_count_jul32_4w_10km","vcount_4w_10km3"
"speeches_count_jul32_4w_25km","vcount_4w_25km3"
"speeches_count_jul32_4w_50km","vcount_4w_50km3"
"speeches_count_jul32_8w_5km","vcount_8w_5km3"
"speeches_count_jul32_8w_10km","vcount_8w_10km3"
"speeches_count_jul32_8w_25km","vcount_8w_25km3"
"speeches_count_jul32_8w_50km","vcount_8w_50km3"
"speeches_count_jul32_12w_5km","vcount_12w_5km3"
"speeches_count_jul32_12w_10km","vcount_12w_10km3"
"speeches_count_jul32_12w_25km","vcount_12w_25km3"
"speeches_count_jul32_12w_50km","vcount_12w_50km3"
"speeches_count_nov32_2w_5km","vcount_2w_5km4"
"speeches_count_nov32_2w_10km","vcount_2w_10km4"
"speeches_count_nov32_2w_25km","vcount_2w_25km4"
"speeches_count_nov32_2w_50km","vcount_2w_50km4"
"speeches_count_nov32_4w_5km","vcount_4w_5km4"
"speeches_count_nov32_4w_10km","vcount_4w_10km4"
"speeches_count_nov32_4w_25km","vcount_4w_25km4"
"speeches_count_nov32_4w_50km","vcount_4w_50km4"
"speeches_count_nov32_8w_5km","vcount_8w_5km4"
"speeches_count_nov32_8w_10km","vcount_8w_10km4"
"speeches_count_nov32_8w_25km","vcount_8w_25km4"
"speeches_count_nov32_8w_50km","vcount_8w_50km4"
"speeches_count_nov32_12w_5km","vcount_12w_5km4"
"speeches_count_nov32_12w_10km","vcount_12w_10km4"
"speeches_count_nov32_12w_25km","vcount_12w_25km4"
"speeches_count_nov32_12w_50km","vcount_12w_50km4"
"speeches_count_mar33_2w_5km","vcount_2w_5km5"
"speeches_count_mar33_2w_10km","vcount_2w_10km5"
"speeches_count_mar33_2w_25km","vcount_2w_25km5"
"speeches_count_mar33_2w_50km","vcount_2w_50km5"
"speeches_count_mar33_4w_5km","vcount_4w_5km5"
"speeches_count_mar33_4w_10km","vcount_4w_10km5"
"speeches_count_mar33_4w_25km","vcount_4w_25km5"
"speeches_count_mar33_4w_50km","vcount_4w_50km5"
"speeches_count_mar33_8w_5km","vcount_8w_5km5"
"speeches_count_mar33_8w_10km","vcount_8w_10km5"
"speeches_count_mar33_8w_25km","vcount_8w_25km5"
"speeches_count_mar33_8w_50km","vcount_8w_50km5"
"speeches_count_mar33_12w_5km","vcount_12w_5km5"
"speeches_count_mar33_12w_10km","vcount_12w_10km5"
"speeches_count_mar33_12w_25km","vcount_12w_25km5"
"speeches_count_mar33_12w_50km","vcount_12w_50km5"
"speeches_count_mar32_2w_5km","vcount_2w_5km6"
"speeches_count_mar32_2w_10km","vcount_2w_10km6"
"speeches_count_mar32_2w_25km","vcount_2w_25km6"
"speeches_count_mar32_2w_50km","vcount_2w_50km6"
"speeches_count_mar32_4w_5km","vcount_4w_5km6"
"speeches_count_mar32_4w_10km","vcount_4w_10km6"
"speeches_count_mar32_4w_25km","vcount_4w_25km6"
"speeches_count_mar32_4w_50km","vcount_4w_50km6"
"speeches_count_mar32_8w_5km","vcount_8w_5km6"
"speeches_count_mar32_8w_10km","vcount_8w_10km6"
"speeches_count_mar32_8w_25km","vcount_8w_25km6"
"speeches_count_mar32_8w_50km","vcount_8w_50km6"
"speeches_count_mar32_12w_5km","vcount_12w_5km6"
"speeches_count_mar32_12w_10km","vcount_12w_10km6"
"speeches_count_mar32_12w_25km","vcount_12w_25km6"
"speeches_count_mar32_12w_50km","vcount_12w_50km6"
"speeches_count_apr32_2w_5km","vcount_2w_5km7"
"speeches_count_apr32_2w_10km","vcount_2w_10km7"
"speeches_count_apr32_2w_25km","vcount_2w_25km7"
"speeches_count_apr32_2w_50km","vcount_2w_50km7"
"speeches_count_apr32_4w_5km","vcount_4w_5km7"
"speeches_count_apr32_4w_10km","vcount_4w_10km7"
"speeches_count_apr32_4w_25km","vcount_4w_25km7"
"speeches_count_apr32_4w_50km","vcount_4w_50km7"
"speeches_count_apr32_8w_5km","vcount_8w_5km7"
"speeches_count_apr32_8w_10km","vcount_8w_10km7"
"speeches_count_apr32_8w_25km","vcount_8w_25km7"
"speeches_count_apr32_8w_50km","vcount_8w_50km7"
"speeches_count_apr32_12w_5km","vcount_12w_5km7"
"speeches_count_apr32_12w_10km","vcount_12w_10km7"
"speeches_count_apr32_12w_25km","vcount_12w_25km7"
"speeches_count_apr32_12w_50km","vcount_12w_50km7"
"goebbels_may28_5km","goebbels_5km1"
"goebbels_may28_10km","goebbels_10km1"
"goebbels_may28_25km","goebbels_25km1"
"goebbels_may28_50km","goebbels_50km1"
"goebbels_sep30_5km","goebbels_5km2"
"goebbels_sep30_10km","goebbels_10km2"
"goebbels_sep30_25km","goebbels_25km2"
"goebbels_sep30_50km","goebbels_50km2"
"goebbels_jul32_5km","goebbels_5km3"
"goebbels_jul32_10km","goebbels_10km3"
"goebbels_jul32_25km","goebbels_25km3"
"goebbels_jul32_50km","goebbels_50km3"
"goebbels_nov32_5km","goebbels_5km4"
"goebbels_nov32_10km","goebbels_10km4"
"goebbels_nov32_25km","goebbels_25km4"
"goebbels_nov32_50km","goebbels_50km4"
"goebbels_mar33_5km","goebbels_5km5"
"goebbels_mar33_10km","goebbels_10km5"
"goebbels_mar33_25km","goebbels_25km5"
"goebbels_mar33_50km","goebbels_50km5"
"goebbels_mar32_5km","goebbels_5km6"
"goebbels_mar32_10km","goebbels_10km6"
"goebbels_mar32_25km","goebbels_25km6"
"goebbels_mar32_50km","goebbels_50km6"
"goebbels_apr32_5km","goebbels_5km7"
"goebbels_apr32_10km","goebbels_10km7"
"goebbels_apr32_25km","goebbels_25km7"
"goebbels_apr32_50km","goebbels_50km7"
"goebbels_may28_2w_5km","goebbels_2w_5km1"
"goebbels_may28_2w_10km","goebbels_2w_10km1"
"goebbels_may28_2w_25km","goebbels_2w_25km1"
"goebbels_may28_2w_50km","goebbels_2w_50km1"
"goebbels_may28_4w_5km","goebbels_4w_5km1"
"goebbels_may28_4w_10km","goebbels_4w_10km1"
"goebbels_may28_4w_25km","goebbels_4w_25km1"
"goebbels_may28_4w_50km","goebbels_4w_50km1"
"goebbels_may28_8w_5km","goebbels_8w_5km1"
"goebbels_may28_8w_10km","goebbels_8w_10km1"
"goebbels_may28_8w_25km","goebbels_8w_25km1"
"goebbels_may28_8w_50km","goebbels_8w_50km1"
"goebbels_may28_12w_5km","goebbels_12w_5km1"
"goebbels_may28_12w_10km","goebbels_12w_10km1"
"goebbels_may28_12w_25km","goebbels_12w_25km1"
"goebbels_may28_12w_50km","goebbels_12w_50km1"
"goebbels_sep30_2w_5km","goebbels_2w_5km2"
"goebbels_sep30_2w_10km","goebbels_2w_10km2"
"goebbels_sep30_2w_25km","goebbels_2w_25km2"
"goebbels_sep30_2w_50km","goebbels_2w_50km2"
"goebbels_sep30_4w_5km","goebbels_4w_5km2"
"goebbels_sep30_4w_10km","goebbels_4w_10km2"
"goebbels_sep30_4w_25km","goebbels_4w_25km2"
"goebbels_sep30_4w_50km","goebbels_4w_50km2"
"goebbels_sep30_8w_5km","goebbels_8w_5km2"
"goebbels_sep30_8w_10km","goebbels_8w_10km2"
"goebbels_sep30_8w_25km","goebbels_8w_25km2"
"goebbels_sep30_8w_50km","goebbels_8w_50km2"
"goebbels_sep30_12w_5km","goebbels_12w_5km2"
"goebbels_sep30_12w_10km","goebbels_12w_10km2"
"goebbels_sep30_12w_25km","goebbels_12w_25km2"
"goebbels_sep30_12w_50km","goebbels_12w_50km2"
"goebbels_jul32_2w_5km","goebbels_2w_5km3"
"goebbels_jul32_2w_10km","goebbels_2w_10km3"
"goebbels_jul32_2w_25km","goebbels_2w_25km3"
"goebbels_jul32_2w_50km","goebbels_2w_50km3"
"goebbels_jul32_4w_5km","goebbels_4w_5km3"
"goebbels_jul32_4w_10km","goebbels_4w_10km3"
"goebbels_jul32_4w_25km","goebbels_4w_25km3"
"goebbels_jul32_4w_50km","goebbels_4w_50km3"
"goebbels_jul32_8w_5km","goebbels_8w_5km3"
"goebbels_jul32_8w_10km","goebbels_8w_10km3"
"goebbels_jul32_8w_25km","goebbels_8w_25km3"
"goebbels_jul32_8w_50km","goebbels_8w_50km3"
"goebbels_jul32_12w_5km","goebbels_12w_5km3"
"goebbels_jul32_12w_10km","goebbels_12w_10km3"
"goebbels_jul32_12w_25km","goebbels_12w_25km3"
"goebbels_jul32_12w_50km","goebbels_12w_50km3"
"goebbels_nov32_2w_5km","goebbels_2w_5km4"
"goebbels_nov32_2w_10km","goebbels_2w_10km4"
"goebbels_nov32_2w_25km","goebbels_2w_25km4"
"goebbels_nov32_2w_50km","goebbels_2w_50km4"
"goebbels_nov32_4w_5km","goebbels_4w_5km4"
"goebbels_nov32_4w_10km","goebbels_4w_10km4"
"goebbels_nov32_4w_25km","goebbels_4w_25km4"
"goebbels_nov32_4w_50km","goebbels_4w_50km4"
"goebbels_nov32_8w_5km","goebbels_8w_5km4"
"goebbels_nov32_8w_10km","goebbels_8w_10km4"
"goebbels_nov32_8w_25km","goebbels_8w_25km4"
"goebbels_nov32_8w_50km","goebbels_8w_50km4"
"goebbels_nov32_12w_5km","goebbels_12w_5km4"
"goebbels_nov32_12w_10km","goebbels_12w_10km4"
"goebbels_nov32_12w_25km","goebbels_12w_25km4"
"goebbels_nov32_12w_50km","goebbels_12w_50km4"
"goebbels_mar33_2w_5km","goebbels_2w_5km5"
"goebbels_mar33_2w_10km","goebbels_2w_10km5"
"goebbels_mar33_2w_25km","goebbels_2w_25km5"
"goebbels_mar33_2w_50km","goebbels_2w_50km5"
"goebbels_mar33_4w_5km","goebbels_4w_5km5"
"goebbels_mar33_4w_10km","goebbels_4w_10km5"
"goebbels_mar33_4w_25km","goebbels_4w_25km5"
"goebbels_mar33_4w_50km","goebbels_4w_50km5"
"goebbels_mar33_8w_5km","goebbels_8w_5km5"
"goebbels_mar33_8w_10km","goebbels_8w_10km5"
"goebbels_mar33_8w_25km","goebbels_8w_25km5"
"goebbels_mar33_8w_50km","goebbels_8w_50km5"
"goebbels_mar33_12w_5km","goebbels_12w_5km5"
"goebbels_mar33_12w_10km","goebbels_12w_10km5"
"goebbels_mar33_12w_25km","goebbels_12w_25km5"
"goebbels_mar33_12w_50km","goebbels_12w_50km5"
"goebbels_mar32_2w_5km","goebbels_2w_5km6"
"goebbels_mar32_2w_10km","goebbels_2w_10km6"
"goebbels_mar32_2w_25km","goebbels_2w_25km6"
"goebbels_mar32_2w_50km","goebbels_2w_50km6"
"goebbels_mar32_4w_5km","goebbels_4w_5km6"
"goebbels_mar32_4w_10km","goebbels_4w_10km6"
"goebbels_mar32_4w_25km","goebbels_4w_25km6"
"goebbels_mar32_4w_50km","goebbels_4w_50km6"
"goebbels_mar32_8w_5km","goebbels_8w_5km6"
"goebbels_mar32_8w_10km","goebbels_8w_10km6"
"goebbels_mar32_8w_25km","goebbels_8w_25km6"
"goebbels_mar32_8w_50km","goebbels_8w_50km6"
"goebbels_mar32_12w_5km","goebbels_12w_5km6"
"goebbels_mar32_12w_10km","goebbels_12w_10km6"
"goebbels_mar32_12w_25km","goebbels_12w_25km6"
"goebbels_mar32_12w_50km","goebbels_12w_50km6"
"goebbels_apr32_2w_5km","goebbels_2w_5km7"
"goebbels_apr32_2w_10km","goebbels_2w_10km7"
"goebbels_apr32_2w_25km","goebbels_2w_25km7"
"goebbels_apr32_2w_50km","goebbels_2w_50km7"
"goebbels_apr32_4w_5km","goebbels_4w_5km7"
"goebbels_apr32_4w_10km","goebbels_4w_10km7"
"goebbels_apr32_4w_25km","goebbels_4w_25km7"
"goebbels_apr32_4w_50km","goebbels_4w_50km7"
"goebbels_apr32_8w_5km","goebbels_8w_5km7"
"goebbels_apr32_8w_10km","goebbels_8w_10km7"
"goebbels_apr32_8w_25km","goebbels_8w_25km7"
"goebbels_apr32_8w_50km","goebbels_8w_50km7"
"goebbels_apr32_12w_5km","goebbels_12w_5km7"
"goebbels_apr32_12w_10km","goebbels_12w_10km7"
"goebbels_apr32_12w_25km","goebbels_12w_25km7"
"goebbels_apr32_12w_50km","goebbels_12w_50km7"
"goebbels_may28_5km_nomatch","goebbels_5km_nomatch1"
"goebbels_may28_10km_nomatch","goebbels_10km_nomatch1"
"goebbels_may28_25km_nomatch","goebbels_25km_nomatch1"
"goebbels_may28_50km_nomatch","goebbels_50km_nomatch1"
"goebbels_sep30_5km_nomatch","goebbels_5km_nomatch2"
"goebbels_sep30_10km_nomatch","goebbels_10km_nomatch2"
"goebbels_sep30_25km_nomatch","goebbels_25km_nomatch2"
"goebbels_sep30_50km_nomatch","goebbels_50km_nomatch2"
"goebbels_jul32_5km_nomatch","goebbels_5km_nomatch3"
"goebbels_jul32_10km_nomatch","goebbels_10km_nomatch3"
"goebbels_jul32_25km_nomatch","goebbels_25km_nomatch3"
"goebbels_jul32_50km_nomatch","goebbels_50km_nomatch3"
"goebbels_nov32_5km_nomatch","goebbels_5km_nomatch4"
"goebbels_nov32_10km_nomatch","goebbels_10km_nomatch4"
"goebbels_nov32_25km_nomatch","goebbels_25km_nomatch4"
"goebbels_nov32_50km_nomatch","goebbels_50km_nomatch4"
"goebbels_mar33_5km_nomatch","goebbels_5km_nomatch5"
"goebbels_mar33_10km_nomatch","goebbels_10km_nomatch5"
"goebbels_mar33_25km_nomatch","goebbels_25km_nomatch5"
"goebbels_mar33_50km_nomatch","goebbels_50km_nomatch5"
"goebbels_mar32_5km_nomatch","goebbels_5km_nomatch6"
"goebbels_mar32_10km_nomatch","goebbels_10km_nomatch6"
"goebbels_mar32_25km_nomatch","goebbels_25km_nomatch6"
"goebbels_mar32_50km_nomatch","goebbels_50km_nomatch6"
"goebbels_apr32_5km_nomatch","goebbels_5km_nomatch7"
"goebbels_apr32_10km_nomatch","goebbels_10km_nomatch7"
"goebbels_apr32_25km_nomatch","goebbels_25km_nomatch7"
"goebbels_apr32_50km_nomatch","goebbels_50km_nomatch7"
"goebbels_may28_2w_5km_nomatch","goebbels_2w_5km_nomatch1"
"goebbels_may28_2w_10km_nomatch","goebbels_2w_10km_nomatch1"
"goebbels_may28_2w_25km_nomatch","goebbels_2w_25km_nomatch1"
"goebbels_may28_2w_50km_nomatch","goebbels_2w_50km_nomatch1"
"goebbels_may28_4w_5km_nomatch","goebbels_4w_5km_nomatch1"
"goebbels_may28_4w_10km_nomatch","goebbels_4w_10km_nomatch1"
"goebbels_may28_4w_25km_nomatch","goebbels_4w_25km_nomatch1"
"goebbels_may28_4w_50km_nomatch","goebbels_4w_50km_nomatch1"
"goebbels_may28_8w_5km_nomatch","goebbels_8w_5km_nomatch1"
"goebbels_may28_8w_10km_nomatch","goebbels_8w_10km_nomatch1"
"goebbels_may28_8w_25km_nomatch","goebbels_8w_25km_nomatch1"
"goebbels_may28_8w_50km_nomatch","goebbels_8w_50km_nomatch1"
"goebbels_may28_12w_5km_nomatch","goebbels_12w_5km_nomatch1"
"goebbels_may28_12w_10km_nomatch","goebbels_12w_10km_nomatch1"
"goebbels_may28_12w_25km_nomatch","goebbels_12w_25km_nomatch1"
"goebbels_may28_12w_50km_nomatch","goebbels_12w_50km_nomatch1"
"goebbels_sep30_2w_5km_nomatch","goebbels_2w_5km_nomatch2"
"goebbels_sep30_2w_10km_nomatch","goebbels_2w_10km_nomatch2"
"goebbels_sep30_2w_25km_nomatch","goebbels_2w_25km_nomatch2"
"goebbels_sep30_2w_50km_nomatch","goebbels_2w_50km_nomatch2"
"goebbels_sep30_4w_5km_nomatch","goebbels_4w_5km_nomatch2"
"goebbels_sep30_4w_10km_nomatch","goebbels_4w_10km_nomatch2"
"goebbels_sep30_4w_25km_nomatch","goebbels_4w_25km_nomatch2"
"goebbels_sep30_4w_50km_nomatch","goebbels_4w_50km_nomatch2"
"goebbels_sep30_8w_5km_nomatch","goebbels_8w_5km_nomatch2"
"goebbels_sep30_8w_10km_nomatch","goebbels_8w_10km_nomatch2"
"goebbels_sep30_8w_25km_nomatch","goebbels_8w_25km_nomatch2"
"goebbels_sep30_8w_50km_nomatch","goebbels_8w_50km_nomatch2"
"goebbels_sep30_12w_5km_nomatch","goebbels_12w_5km_nomatch2"
"goebbels_sep30_12w_10km_nomatch","goebbels_12w_10km_nomatch2"
"goebbels_sep30_12w_25km_nomatch","goebbels_12w_25km_nomatch2"
"goebbels_sep30_12w_50km_nomatch","goebbels_12w_50km_nomatch2"
"goebbels_jul32_2w_5km_nomatch","goebbels_2w_5km_nomatch3"
"goebbels_jul32_2w_10km_nomatch","goebbels_2w_10km_nomatch3"
"goebbels_jul32_2w_25km_nomatch","goebbels_2w_25km_nomatch3"
"goebbels_jul32_2w_50km_nomatch","goebbels_2w_50km_nomatch3"
"goebbels_jul32_4w_5km_nomatch","goebbels_4w_5km_nomatch3"
"goebbels_jul32_4w_10km_nomatch","goebbels_4w_10km_nomatch3"
"goebbels_jul32_4w_25km_nomatch","goebbels_4w_25km_nomatch3"
"goebbels_jul32_4w_50km_nomatch","goebbels_4w_50km_nomatch3"
"goebbels_jul32_8w_5km_nomatch","goebbels_8w_5km_nomatch3"
"goebbels_jul32_8w_10km_nomatch","goebbels_8w_10km_nomatch3"
"goebbels_jul32_8w_25km_nomatch","goebbels_8w_25km_nomatch3"
"goebbels_jul32_8w_50km_nomatch","goebbels_8w_50km_nomatch3"
"goebbels_jul32_12w_5km_nomatch","goebbels_12w_5km_nomatch3"
"goebbels_jul32_12w_10km_nomatch","goebbels_12w_10km_nomatch3"
"goebbels_jul32_12w_25km_nomatch","goebbels_12w_25km_nomatch3"
"goebbels_jul32_12w_50km_nomatch","goebbels_12w_50km_nomatch3"
"goebbels_nov32_2w_5km_nomatch","goebbels_2w_5km_nomatch4"
"goebbels_nov32_2w_10km_nomatch","goebbels_2w_10km_nomatch4"
"goebbels_nov32_2w_25km_nomatch","goebbels_2w_25km_nomatch4"
"goebbels_nov32_2w_50km_nomatch","goebbels_2w_50km_nomatch4"
"goebbels_nov32_4w_5km_nomatch","goebbels_4w_5km_nomatch4"
"goebbels_nov32_4w_10km_nomatch","goebbels_4w_10km_nomatch4"
"goebbels_nov32_4w_25km_nomatch","goebbels_4w_25km_nomatch4"
"goebbels_nov32_4w_50km_nomatch","goebbels_4w_50km_nomatch4"
"goebbels_nov32_8w_5km_nomatch","goebbels_8w_5km_nomatch4"
"goebbels_nov32_8w_10km_nomatch","goebbels_8w_10km_nomatch4"
"goebbels_nov32_8w_25km_nomatch","goebbels_8w_25km_nomatch4"
"goebbels_nov32_8w_50km_nomatch","goebbels_8w_50km_nomatch4"
"goebbels_nov32_12w_5km_nomatch","goebbels_12w_5km_nomatch4"
"goebbels_nov32_12w_10km_nomatch","goebbels_12w_10km_nomatch4"
"goebbels_nov32_12w_25km_nomatch","goebbels_12w_25km_nomatch4"
"goebbels_nov32_12w_50km_nomatch","goebbels_12w_50km_nomatch4"
"goebbels_mar33_2w_5km_nomatch","goebbels_2w_5km_nomatch5"
"goebbels_mar33_2w_10km_nomatch","goebbels_2w_10km_nomatch5"
"goebbels_mar33_2w_25km_nomatch","goebbels_2w_25km_nomatch5"
"goebbels_mar33_2w_50km_nomatch","goebbels_2w_50km_nomatch5"
"goebbels_mar33_4w_5km_nomatch","goebbels_4w_5km_nomatch5"
"goebbels_mar33_4w_10km_nomatch","goebbels_4w_10km_nomatch5"
"goebbels_mar33_4w_25km_nomatch","goebbels_4w_25km_nomatch5"
"goebbels_mar33_4w_50km_nomatch","goebbels_4w_50km_nomatch5"
"goebbels_mar33_8w_5km_nomatch","goebbels_8w_5km_nomatch5"
"goebbels_mar33_8w_10km_nomatch","goebbels_8w_10km_nomatch5"
"goebbels_mar33_8w_25km_nomatch","goebbels_8w_25km_nomatch5"
"goebbels_mar33_8w_50km_nomatch","goebbels_8w_50km_nomatch5"
"goebbels_mar33_12w_5km_nomatch","goebbels_12w_5km_nomatch5"
"goebbels_mar33_12w_10km_nomatch","goebbels_12w_10km_nomatch5"
"goebbels_mar33_12w_25km_nomatch","goebbels_12w_25km_nomatch5"
"goebbels_mar33_12w_50km_nomatch","goebbels_12w_50km_nomatch5"
"goebbels_mar32_2w_5km_nomatch","goebbels_2w_5km_nomatch6"
"goebbels_mar32_2w_10km_nomatch","goebbels_2w_10km_nomatch6"
"goebbels_mar32_2w_25km_nomatch","goebbels_2w_25km_nomatch6"
"goebbels_mar32_2w_50km_nomatch","goebbels_2w_50km_nomatch6"
"goebbels_mar32_4w_5km_nomatch","goebbels_4w_5km_nomatch6"
"goebbels_mar32_4w_10km_nomatch","goebbels_4w_10km_nomatch6"
"goebbels_mar32_4w_25km_nomatch","goebbels_4w_25km_nomatch6"
"goebbels_mar32_4w_50km_nomatch","goebbels_4w_50km_nomatch6"
"goebbels_mar32_8w_5km_nomatch","goebbels_8w_5km_nomatch6"
"goebbels_mar32_8w_10km_nomatch","goebbels_8w_10km_nomatch6"
"goebbels_mar32_8w_25km_nomatch","goebbels_8w_25km_nomatch6"
"goebbels_mar32_8w_50km_nomatch","goebbels_8w_50km_nomatch6"
"goebbels_mar32_12w_5km_nomatch","goebbels_12w_5km_nomatch6"
"goebbels_mar32_12w_10km_nomatch","goebbels_12w_10km_nomatch6"
"goebbels_mar32_12w_25km_nomatch","goebbels_12w_25km_nomatch6"
"goebbels_mar32_12w_50km_nomatch","goebbels_12w_50km_nomatch6"
"goebbels_apr32_2w_5km_nomatch","goebbels_2w_5km_nomatch7"
"goebbels_apr32_2w_10km_nomatch","goebbels_2w_10km_nomatch7"
"goebbels_apr32_2w_25km_nomatch","goebbels_2w_25km_nomatch7"
"goebbels_apr32_2w_50km_nomatch","goebbels_2w_50km_nomatch7"
"goebbels_apr32_4w_5km_nomatch","goebbels_4w_5km_nomatch7"
"goebbels_apr32_4w_10km_nomatch","goebbels_4w_10km_nomatch7"
"goebbels_apr32_4w_25km_nomatch","goebbels_4w_25km_nomatch7"
"goebbels_apr32_4w_50km_nomatch","goebbels_4w_50km_nomatch7"
"goebbels_apr32_8w_5km_nomatch","goebbels_8w_5km_nomatch7"
"goebbels_apr32_8w_10km_nomatch","goebbels_8w_10km_nomatch7"
"goebbels_apr32_8w_25km_nomatch","goebbels_8w_25km_nomatch7"
"goebbels_apr32_8w_50km_nomatch","goebbels_8w_50km_nomatch7"
"goebbels_apr32_12w_5km_nomatch","goebbels_12w_5km_nomatch7"
"goebbels_apr32_12w_10km_nomatch","goebbels_12w_10km_nomatch7"
"goebbels_apr32_12w_25km_nomatch","goebbels_12w_25km_nomatch7"
"goebbels_apr32_12w_50km_nomatch","goebbels_12w_50km_nomatch7"
"n_wgt.28cum","members1"
"n_wgt.30cum","members2"
"n_wgt.32r1cum","members3"
"n_wgt.32r2cum","members4"
"n_wgt.33cum","members5"
"n_wgt.32p1cum","members6"
"n_wgt.32p2cum","members7"
